Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,add_item_to_cart,129,0,130.0,130.3169131782946,37.26699999999994,336.5229000000003,0.0,0.723999582849876,0.0,92,130,180,180,200,210,250,270,340,340,340
GET,get_address,129,0,68,72.53212325581403,8.309499999999304,182.67949999997768,283.0,0.723999582849876,0.0,42,68,100,110,130,150,160,170,180,180,180
GET,get_basket,129,0,35,37.11993023255796,5.209300000004191,97.01359999999681,23020.0,0.723999582849876,0.0,14,35,52,58,76,86,90,94,97,97,97
GET,get_card,129,0,68,81.67846356589115,8.664099999997177,220.7535000000007,17.0,0.723999582849876,0.0,45,68,130,130,150,160,180,180,220,220,220
GET,get_cart,3305,0,93,98.2211201815432,9.185500000000957,1592.6657,69.0232980332829,18.548981560611164,0.0,60,93,140,140,150,160,180,210,1500,1600,1600
GET,get_catalogue1,1730,0,57,59.05668988439295,8.071099999995113,349.2855000000001,1643.0,9.709451770002213,0.0,18,57,93,96,110,120,160,190,280,350,350
GET,get_catalogue2,456,0,60,63.139635526315836,10.148199999999719,232.6195000000002,22.0,2.559254339376306,0.0,20,60,98,100,110,150,180,210,230,230,230
GET,get_catalogue3,456,0,49,54.676328070175146,8.792999999997164,162.20380000000034,1927.0,2.559254339376306,0.0,24,49,86,89,100,110,130,140,160,160,160
GET,get_category,456,0,36,36.23389956140327,5.168199999999956,99.89030000000021,11518.0,2.559254339376306,0.0,16,36,51,54,62,71,82,87,100,100,100
GET,get_customer,1574,0,65,76.00814148665816,8.777999999999508,270.06339999999796,260.1029224904701,8.833917390741897,0.0,43,65,110,130,140,150,170,180,270,270,270
GET,get_customer_orders,405,0,33,34.56243802469143,5.208600000003116,98.2817999999952,6368.0,2.2730219461565873,0.0,13,33,49,53,66,80,86,89,98,98,98
GET,get_detail,585,0,21,34.621204786325244,5.16379999999117,136.21639999999857,10364.0,3.283253922226182,0.0,12,21,53,61,81,88,92,98,140,140,140
GET,get_index,1602,0,23,34.664695505617644,4.307199999999511,173.7510999999987,8688.0,8.99106458701939,0.0,12,24,52,62,79,86,92,96,110,170,170
GET,get_item,1246,0,77,78.12207327447787,8.833500000008598,248.83269999999948,286.0,6.993050234348415,0.0,42,77,110,120,140,150,160,180,240,250,250
GET,get_orders,533,0,88,129.51324240150055,13.049600000002215,5795.547100000002,2.0,2.9914091291394103,0.0,41,88,120,130,160,200,490,1800,5800,5800,5800
GET,get_related,585,0,75,80.77702871794934,8.543099999997139,327.04060000000015,760.0,3.283253922226182,0.0,41,75,110,130,140,160,180,220,330,330,330
GET,get_tags,456,0,82,89.91375153508712,7.812900000004674,241.14719999999858,107.0,2.559254339376306,0.0,49,82,140,140,150,160,170,180,240,240,240
GET,login,408,0,110.0,112.1902049019606,20.180899999999724,369.6183000000004,13.0,2.2898591457577475,0.0,63,110,150,150,170,230,250,340,370,370,370
,Aggregated,14313,0,63,73.24449650667162,4.307199999999511,5795.547100000002,2518.369314609097,80.33027929713391,0.0,26,63,100,110,140,160,170,200,1400,5000,5800
